Anno,Codice Istat,Comune,Densità
1990,24082,Pozzoleone,204,96
1990,24083,Quinto Vicentino,235,95
1990,24084,Recoaro Terme,124,93
1990,24085,Roana,46,08
1990,24086,Romano d'Ezzelino,562,45
1990,24087,Rosà,493,56
1990,24088,Rossano Veneto,608,35
1990,24089,Rotzo,21,3
1990,24090,Salcedo,162,58
1990,24091,Sandrigo,256,21
1990,24092,San Germano dei Berici,65,46
1990,24093,San Nazario,70,82
1990,24094,San Pietro Mussolino,321,9
1990,24095,Santorso,374,11
1990,24096,San Vito di Leguzzano,497,38
1990,24097,Sarcedo,340,26
1990,24098,Sarego,207,91
1990,24099,Schiavon,185,87
1990,24100,Schio,549,65
1990,24101,Solagna,97,34
1990,24102,Sossano,183,63
1990,24103,Sovizzo,309,55
1990,24104,Tezze sul Brenta,522,58
1990,24105,Thiene,1.009,38
1990,24106,Tonezza del Cimone,45,99
1990,24107,Torrebelvicino,236,52
1990,24108,Torri di Quartesolo,523,95
1990,24110,Trissino,337,25
1990,24111,Valdagno,551,25
1990,24112,Valdastico,67,03
1990,24113,Valli del Pasubio,73,8
1990,24114,Valstagna,70,88
1990,24115,Velo d'Astico,102,18
1990,24116,Vicenza,1.358,85
1990,24117,Villaga,75,34
1990,24118,Villaverla,303,56
1990,24119,Zanè,704,18
1990,24120,Zermeghedo,313,51
1990,24121,Zovencedo,79,52
1990,24122,Zugliano,404,44
1990,25001,Agordo,182,64
1990,25002,Alano di Piave,68,07
1990,25003,Alleghe,51,09
1990,25004,Arsiè,46,97
1990,25005,Auronzo di Cadore,17,5
1990,25006,Belluno,243,66
1990,25007,Borca di Cadore,25,05
1990,25008,Calalzo di Cadore,55,6
1990,25009,Castellavazzo,101,3
1990,25010,Cencenighe Agordino,85,89
1990,25011,Cesiomaggiore,48,82
1990,25012,Chies d'Alpago,37,48
1990,25013,Cibiana di Cadore,31,23
1990,25014,Colle Santa Lucia,32,02
1990,25015,Comelico Superiore,31,59
1990,25016,Cortina d'Ampezzo,28,21
1990,25017,Danta di Cadore,76,01
1990,25018,Domegge di Cadore,53,45
1990,25019,Falcade,43,19
1990,25020,Farra d'Alpago,64,94
1990,25021,Feltre,197,87
1990,25022,Fonzaso,124,74
1990,25023,Canale d'Agordo,28,9
1990,25024,Forno di Zoldo,39,84
1990,25025,Gosaldo,22,03
1990,25026,Lamon,69,03
1990,25027,La Valle Agordina,25,01
1990,25028,Lentiai,74,72
1990,25029,Limana,106
1990,25030,Livinallongo del Col di Lana,14,41
1990,25031,Longarone,41,1
1990,25032,Lorenzago di Cadore,24,1
1990,25033,Lozzo di Cadore,52,5
1990,25034,Mel,76,48
1990,25035,Ospitale di Cadore,9,54
1990,25036,Pedavena,167,13
1990,25037,Perarolo di Cadore,7,23
1990,25038,Pieve d'Alpago,81,59
1990,25039,Pieve di Cadore,61,28
1990,25040,Ponte nelle Alpi,130,12
1990,25041,Puos d'Alpago,163,01
1990,25042,Quero,75,54
1990,25043,Rivamonte Agordino,31,7
1990,25044,Rocca Pietore,21,7
1990,25045,San Gregorio nelle Alpi,72,73
1990,25046,San Nicolò di Comelico,18,04
1990,25047,San Pietro di Cadore,38,89
1990,25048,Santa Giustina,170,88
1990,25049,San Tomaso Agordino,47,52
1990,25050,Santo Stefano di Cadore,30,51
1990,25051,San Vito di Cadore,26,33
1990,25052,Sappada,22,19
1990,25053,Sedico,88,5
1990,25054,Selva di Cadore,18,37
1990,25055,Seren del Grappa,39,61
1990,25056,Sospirolo,50,89
1990,25057,Soverzene,27,77
1990,25058,Sovramonte,36,29
1990,25059,Taibon Agordino,19
1990,25060,Tambre,36,78
1990,25061,Trichiana,98,36
1990,25062,Vallada Agordina,46,4
1990,25063,Valle di Cadore,51,28
1990,25064,Vas,46,28
1990,25065,Vigo di Cadore,24,5
1990,25066,Vodo Cadore,20,49
1990,25067,Voltago Agordino,44,03
1990,25068,Zoldo Alto,21,61
1990,25069,Zoppè di Cadore,74,03
1990,26001,Altivole,247,79
1990,26002,Arcade,367,18
1990,26003,Asolo,264,88
1990,26004,Borso del Grappa,118,18
1990,26005,Breda di Piave,218,36
1990,26006,Caerano di San Marco,547,31
1990,26007,Cappella Maggiore,373,23
1990,26008,Carbonera,453,49
1990,26009,Casale sul Sile,272,96
1990,26010,Casier,496,14
1990,26011,Castelcucco,191,35
1990,26012,Castelfranco Veneto,580,11
1990,26013,Castello di Godego,334,43
1990,26014,Cavaso del Tomba,127,37
1990,26015,Cessalto,111,21
1990,26016,Chiarano,149,45
1990,26017,Cimadolmo,175,61
1990,26018,Cison di Valmarino,82,37
1990,26019,Codognè,223,26
1990,26020,Colle Umberto,321,83
1990,26021,Conegliano,986,54
1990,26022,Cordignano,220,95
1990,26023,Cornuda,425,93
1990,26024,Crespano del Grappa,216,35
1990,26025,Crocetta del Montello,215,5
1990,26026,Farra di Soligo,260,16
1990,26027,Follina,142,38
1990,26028,Fontanelle,142,78
1990,26029,Fonte,318,66
1990,26030,Fregona,68,33
1990,26031,Gaiarine,215,57
