Anno,Codice Istat,Comune,Densità
1995,23097,Zevio,197,77
1995,23098,Zimella,203,87
1995,24001,Agugliaro,84,35
1995,24002,Albettone,95,72
1995,24003,Alonte,87,9
1995,24004,Altavilla Vicentina,515,33
1995,24005,Altissimo,132
1995,24006,Arcugnano,156,93
1995,24007,Arsiero,80,45
1995,24008,Arzignano,635,59
1995,24009,Asiago,40,8
1995,24010,Asigliano Veneto,101,11
1995,24011,Barbarano Vicentino,178,47
1995,24012,Bassano del Grappa,839,15
1995,24013,Bolzano Vicentino,237,27
1995,24014,Breganze,344,35
1995,24015,Brendola,222,88
1995,24016,Bressanvido,307,59
1995,24017,Brogliano,211,6
1995,24018,Caldogno,609,45
1995,24019,Caltrano,106,22
1995,24020,Calvene,107,54
1995,24021,Camisano Vicentino,257,93
1995,24022,Campiglia dei Berici,157,86
1995,24023,Campolongo sul Brenta,84,58
1995,24024,Carrè,338,69
1995,24025,Cartigliano,457,6
1995,24026,Cassola,906,45
1995,24027,Castegnero,189,6
1995,24028,Castelgomberto,291,61
1995,24029,Chiampo,515,98
1995,24030,Chiuppano,517,52
1995,24031,Cismon del Grappa,30,83
1995,24032,Cogollo del Cengio,88,63
1995,24033,Conco,83,67
1995,24034,Cornedo Vicentino,420,6
1995,24035,Costabissara,404,24
1995,24036,Creazzo,963,18
1995,24037,Crespadoro,43,84
1995,24038,Dueville,619,24
1995,24039,Enego,40,43
1995,24040,Fara Vicentino,245,04
1995,24041,Foza,22,75
1995,24042,Gallio,49,13
1995,24043,Gambellara,242,13
1995,24044,Gambugliano,92,2
1995,24045,Grancona,134,85
1995,24046,Grisignano di Zocco,241,26
1995,24047,Grumolo delle Abbadesse,212,32
1995,24048,Isola Vicentina,273,91
1995,24049,Laghi,6,98
1995,24050,Lastebasse,13,73
1995,24051,Longare,227,8
1995,24052,Lonigo,265,03
1995,24053,Lugo di Vicenza,253,15
1995,24054,Lusiana,84,14
1995,24055,Malo,377,83
1995,24056,Marano Vicentino,647,72
1995,24057,Marostica,346,14
1995,24058,Mason Vicentino,248,16
1995,24059,Molvena,311,05
1995,24060,Montebello Vicentino,259,44
1995,24061,Montecchio Maggiore,654,5
1995,24062,Montecchio Precalcino,306,7
1995,24063,Monte di Malo,111,49
1995,24064,Montegalda,163,01
1995,24065,Montegaldella,120,53
1995,24066,Monteviale,235,24
1995,24067,Monticello Conte Otto,834,35
1995,24068,Montorso Vicentino,297,72
1995,24069,Mossano,118,88
1995,24070,Mussolente,405,99
1995,24071,Nanto,149
1995,24072,Nogarole Vicentino,99,22
1995,24073,Nove,587,48
1995,24074,Noventa Vicentina,345,55
1995,24075,Orgiano,167,37
1995,24076,Pedemonte,62,37
1995,24077,Pianezze,360,16
1995,24078,Piovene Rocchette,567,23
1995,24079,Poiana Maggiore,147,21
1995,24080,Posina,16,41
1995,24081,Pove del Grappa,272,46
1995,24082,Pozzoleone,211,96
1995,24083,Quinto Vicentino,252,92
1995,24084,Recoaro Terme,124,53
1995,24085,Roana,47,8
1995,24086,Romano d'Ezzelino,610,7
1995,24087,Rosà,496,55
1995,24088,Rossano Veneto,612,76
1995,24089,Rotzo,21,37
1995,24090,Salcedo,165,03
1995,24091,Sandrigo,268,91
1995,24092,San Germano dei Berici,66,69
1995,24093,San Nazario,74,75
1995,24094,San Pietro Mussolino,353,28
1995,24095,Santorso,379,62
1995,24096,San Vito di Leguzzano,522,46
1995,24097,Sarcedo,351,16
1995,24098,Sarego,214,18
1995,24099,Schiavon,189,63
1995,24100,Schio,553,39
1995,24101,Solagna,103,67
1995,24102,Sossano,183,82
1995,24103,Sovizzo,333,93
1995,24104,Tezze sul Brenta,555,51
1995,24105,Thiene,1.037,81
1995,24106,Tonezza del Cimone,45,3
1995,24107,Torrebelvicino,247,19
1995,24108,Torri di Quartesolo,550,7
1995,24110,Trissino,340,22
1995,24111,Valdagno,542,49
1995,24112,Valdastico,64,88
1995,24113,Valli del Pasubio,71,69
1995,24114,Valstagna,72,97
1995,24115,Velo d'Astico,102,95
1995,24116,Vicenza,1.339,62
1995,24117,Villaga,78,66
1995,24118,Villaverla,319,89
1995,24119,Zanè,725,23
1995,24120,Zermeghedo,367,23
1995,24121,Zovencedo,87
1995,24122,Zugliano,413,17
1995,25001,Agordo,185,04
1995,25002,Alano di Piave,72,37
1995,25003,Alleghe,48,27
1995,25004,Arsiè,44,58
1995,25005,Auronzo di Cadore,16,91
1995,25006,Belluno,240,35
1995,25007,Borca di Cadore,28,86
1995,25008,Calalzo di Cadore,56,41
1995,25009,Castellavazzo,96,6
1995,25010,Cencenighe Agordino,85,33
1995,25011,Cesiomaggiore,48,44
1995,25012,Chies d'Alpago,35,72
1995,25013,Cibiana di Cadore,27,8
1995,25014,Colle Santa Lucia,28,48
1995,25015,Comelico Superiore,28,83
1995,25016,Cortina d'Ampezzo,26,47
1995,25017,Danta di Cadore,73,12
1995,25018,Domegge di Cadore,54,56
1995,25019,Falcade,43,04
1995,25020,Farra d'Alpago,63,71
1995,25021,Feltre,194,39
1995,25022,Fonzaso,124,88
1995,25023,Canale d'Agordo,28,21
1995,25024,Forno di Zoldo,38,04
1995,25025,Gosaldo,19,67
1995,25026,Lamon,67,78
1995,25027,La Valle Agordina,24,48
1995,25028,Lentiai,75,57
1995,25029,Limana,111,52
1995,25030,Livinallongo del Col di Lana,14,28
1995,25031,Longarone,40,78
1995,25032,Lorenzago di Cadore,23,45
1995,25033,Lozzo di Cadore,51,88
1995,25034,Mel,73,46
1995,25035,Ospitale di Cadore,9,81
1995,25036,Pedavena,171,51
1995,25037,Perarolo di Cadore,8,61
1995,25038,Pieve d'Alpago,80,2
1995,25039,Pieve di Cadore,60,86
1995,25040,Ponte nelle Alpi,135,66
1995,25041,Puos d'Alpago,163,73
1995,25042,Quero,76,04
1995,25043,Rivamonte Agordino,31,01
1995,25044,Rocca Pietore,20,57
1995,25045,San Gregorio nelle Alpi,76,32
1995,25046,San Nicolò di Comelico,17,38
1995,25047,San Pietro di Cadore,36,96
1995,25048,Santa Giustina,173,58
1995,25049,San Tomaso Agordino,44,65
1995,25050,Santo Stefano di Cadore,29,77
1995,25051,San Vito di Cadore,27,09
1995,25052,Sappada,22,55
1995,25053,Sedico,90,5
1995,25054,Selva di Cadore,18,19
1995,25055,Seren del Grappa,40,44
1995,25056,Sospirolo,50,62
1995,25057,Soverzene,29,46
1995,25058,Sovramonte,34,74
1995,25059,Taibon Agordino,19,06
1995,25060,Tambre,36,07
1995,25061,Trichiana,99,95
1995,25062,Vallada Agordina,44,2
1995,25063,Valle di Cadore,51,16
1995,25064,Vas,46,62
1995,25065,Vigo di Cadore,24,26
1995,25066,Vodo Cadore,19,79
1995,25067,Voltago Agordino,44,59
1995,25068,Zoldo Alto,20,45
1995,25069,Zoppè di Cadore,71,75
1995,26001,Altivole,257,31
1995,26002,Arcade,387,87
1995,26003,Asolo,272,53
1995,26004,Borso del Grappa,128,64
1995,26005,Breda di Piave,226,99
1995,26006,Caerano di San Marco,560,22
1995,26007,Cappella Maggiore,387,06
1995,26008,Carbonera,461,17
1995,26009,Casale sul Sile,295,53
1995,26010,Casier,539
1995,26011,Castelcucco,197,72
1995,26012,Castelfranco Veneto,590,59
1995,26013,Castello di Godego,345,11
1995,26014,Cavaso del Tomba,130,33
1995,26015,Cessalto,110,71
1995,26016,Chiarano,153,61
1995,26017,Cimadolmo,178,99
1995,26018,Cison di Valmarino,84,59
1995,26019,Codognè,224,13
1995,26020,Colle Umberto,323,89
1995,26021,Conegliano,968,51
1995,26022,Cordignano,226,64
1995,26023,Cornuda,445,4
1995,26024,Crespano del Grappa,222,4
1995,26025,Crocetta del Montello,215,16
1995,26026,Farra di Soligo,267,21
1995,26027,Follina,144,25
1995,26028,Fontanelle,145,12
1995,26029,Fonte,335,13
1995,26030,Fregona,68,21
1995,26031,Gaiarine,217,39
1995,26032,Giavera del Montello,200,8
1995,26033,Godega di Sant'Urbano,241,3
1995,26034,Gorgo al Monticano,143,83
1995,26035,Istrana,278,61
1995,26036,Loria,309,49
1995,26037,Mansuè,150,22
1995,26038,Mareno di Piave,271,94
1995,26039,Maser,185,16
1995,26040,Maserada sul Piave,228,17
1995,26041,Meduna di Livenza,164,71
1995,26042,Miane,105,72
1995,26043,Mogliano Veneto,564,79
1995,26044,Monastier di Treviso,134,45
1995,26045,Monfumo,125,02
1995,26046,Montebelluna,527,26
1995,26047,Morgano,298,13
1995,26048,Moriago della Battaglia,176,9
1995,26049,Motta di Livenza,235,33
1995,26050,Nervesa della Battaglia,181,39
1995,26051,Oderzo,392,04
1995,26052,Ormelle,202,08
1995,26053,Orsago,333,05
1995,26054,Paderno del Grappa,95,07
1995,26055,Paese,438,92
1995,26056,Pederobba,226,4
1995,26057,Pieve di Soligo,511
1995,26058,Ponte di Piave,194,36
1995,26059,Ponzano Veneto,372,99
1995,26060,Portobuffolè,138,8
1995,26061,Possagno,154,3
1995,26062,Povegliano,285,33
1995,26063,Preganziol,609,79
1995,26064,Quinto di Treviso,480,02
1995,26065,Refrontolo,133,41
1995,26066,Resana,270,52
1995,26067,Revine Lago,109,59
1995,26068,Riese Pio X,284,74
1995,26069,Roncade,190,79
1995,26070,Salgareda,181,51
1995,26071,San Biagio di Callalta,232,44
1995,26072,San Fior,323,97
1995,26073,San Pietro di Feletto,235,06
1995,26074,San Polo di Piave,199,62
1995,26075,Santa Lucia di Piave,329,58
1995,26076,San Vendemiano,450,35
1995,26077,San Zenone degli Ezzelini,294,59
1995,26078,Sarmede,159,31
1995,26079,Segusino,110,03
1995,26080,Sernaglia della Battaglia,278,32
1995,26081,Silea,468,52
1995,26082,Spresiano,349,51
1995,26083,Susegana,227,29
1995,26084,Tarzo,180,8
1995,26085,Trevignano,321,32
1995,26086,Treviso,1.462,97
1995,26087,Valdobbiadene,176,29
1995,26088,Vazzola,225,62
1995,26089,Vedelago,215,46
1995,26090,Vidor,225,3
1995,26091,Villorba,520,46
1995,26092,Vittorio Veneto,348,17
1995,26093,Volpago del Montello,196,71
1995,26094,Zenson di Piave,166,28
1995,26095,Zero Branco,301,34
1995,27001,Annone Veneto,128,73
1995,27002,Campagna Lupia,70,8
1995,27003,Campolongo Maggiore,381,73
1995,27004,Camponogara,481,23
1995,27005,Caorle,75,16
1995,27006,Cavarzere,116,42
1995,27007,Ceggia,228,3
1995,27008,Chioggia,285,14
1995,27009,Cinto Caomaggiore,144,43
1995,27010,Cona,51,13
1995,27011,Concordia Sagittaria,158,38
1995,27012,Dolo,588,08
1995,27013,Eraclea,129,52
1995,27014,Fiesso d'Artico,915,06
1995,27015,Fossalta di Piave,395,58
1995,27016,Fossalta di Portogruaro,183,09
1995,27017,Fossò,537,98
1995,27018,Gruaro,154,99
1995,27019,Jesolo,234,28
1995,27020,Marcon,448,86
1995,27021,Martellago,930,63
1995,27022,Meolo,210,08
1995,27023,Mira,365,72
1995,27024,Mirano,574,32
1995,27025,Musile di Piave,216,56
1995,27026,Noale,574,13
1995,27027,Noventa di Piave,322,08
1995,27028,Pianiga,442,39
1995,27029,Portogruaro,239,13
1995,27030,Pramaggiore,150,93
1995,27031,Quarto d'Altino,240,06
1995,27032,Salzano,658,53
1995,27033,San Donà di Piave,442,88
1995,27034,San Michele al Tagliamento,106,78
1995,27035,Santa Maria di Sala,428,68
1995,27036,San Stino di Livenza,168,36
1995,27037,Scorzè,490,33
1995,27038,Spinea,1.679,76
1995,27039,Stra,764,24
1995,27040,Teglio Veneto,174,65
1995,27041,Torre di Mosto,104,33
1995,27042,Venezia,653,52
1995,27043,Vigonovo,596,87
1995,27044,Cavallino-Treporti,
1995,28001,Abano Terme,843,39
1995,28002,Agna,167,71
1995,28003,Albignasego,879,09
1995,28004,Anguillara Veneta,233,75
1995,28005,Arquà Petrarca,152,96
1995,28006,Arre,160,6
1995,28007,Arzergrande,305,8
1995,28008,Bagnoli di Sopra,112,28
1995,28009,Baone,127,74
1995,28010,Barbona,92,51
1995,28011,Battaglia Terme,665,76
1995,28012,Boara Pisani,152,79
1995,28013,Borgoricco,302,88
1995,28014,Bovolenta,139,64
1995,28015,Brugine,294,89
1995,28016,Cadoneghe,1.079,77
1995,28017,Campodarsego,420,73
1995,28018,Campodoro,179,66
1995,28019,Camposampiero,464,36
1995,28020,Campo San Martino,394,9
1995,28021,Candiana,107,92
1995,28022,Carceri,157,04
1995,28023,Carmignano di Brenta,472,51
1995,28024,Carrara San Giorgio,
1995,28025,Carrara Santo Stefano,
1995,28026,Cartura,255,06
1995,28027,Casale di Scodosia,233,27
1995,28028,Casalserugo,335,95
1995,28029,Castelbaldo,116,55
1995,28030,Cervarese Santa Croce,267,07
1995,28031,Cinto Euganeo,105,03
1995,28032,Cittadella,501,34
1995,28033,Codevigo,77,77
1995,28034,Conselve,357,47
1995,28035,Correzzola,122,78
1995,28036,Curtarolo,408,01
1995,28037,Este,530,31
1995,28038,Fontaniva,353,2
1995,28039,Galliera Veneta,720,87
1995,28040,Galzignano Terme,232,84
1995,28041,Gazzo,142,45
1995,28042,Grantorto,266,81
1995,28043,Granze,138,29
1995,28044,Legnaro,455,14
1995,28045,Limena,409,97
1995,28046,Loreggia,274,46
1995,28047,Lozzo Atestino,130,62
1995,28048,Maserà di Padova,394,87
1995,28049,Masi,131,89
1995,28050,Massanzago,295,92
1995,28051,Megliadino San Fidenzio,120,84
1995,28052,Megliadino San Vitale,134,75
1995,28053,Merlara,142,37
1995,28054,Mestrino,373,32
1995,28055,Monselice,342,01
1995,28056,Montagnana,210,65
1995,28057,Montegrotto Terme,676,72
1995,28058,Noventa Padovana,1.077,55
1995,28059,Ospedaletto Euganeo,236,06
1995,28060,Padova,2.291,13
1995,28061,Pernumia,284,95
1995,28062,Piacenza d'Adige,79,72
1995,28063,Piazzola sul Brenta,256,74
1995,28064,Piombino Dese,272,67
1995,28065,Piove di Sacco,479,01
1995,28066,Polverara,235,33
1995,28067,Ponso,209,15
1995,28068,Pontelongo,334,97
1995,28069,Ponte San Nicolò,836,15
1995,28070,Pozzonovo,146,4
1995,28071,Rovolon,142,02
1995,28072,Rubano,895,4
1995,28073,Saccolongo,318,8
1995,28074,Saletto,232,44
1995,28075,San Giorgio delle Pertiche,396,28
1995,28076,San Giorgio in Bosco,196,51
1995,28077,San Martino di Lupari,459,99
1995,28078,San Pietro in Gu,238,31
1995,28079,San Pietro Viminario,180,2
1995,28080,Santa Giustina in Colle,337,28
1995,28081,Santa Margherita d'Adige,167,69
1995,28082,Sant'Angelo di Piove di Sacco,442,03
1995,28083,Sant'Elena,187,58
1995,28084,Sant'Urbano,75,53
1995,28085,Saonara,600,07
1995,28086,Selvazzano Dentro,968,9
1995,28087,Solesino,689,28
1995,28088,Stanghella,233,72
1995,28089,Teolo,260,75
1995,28090,Terrassa Padovana,142,32
1995,28091,Tombolo,608,39
1995,28092,Torreglia,307,31
1995,28093,Trebaseleghe,327,2
1995,28094,Tribano,202,34
1995,28095,Urbana,130,42
1995,28096,Veggiano,151,48
1995,28097,Vescovana,71,25
1995,28098,Vighizzolo d'Este,57,9
1995,28099,Vigodarzere,533,85
1995,28100,Vigonza,547,42
1995,28101,Villa del Conte,287,41
1995,28102,Villa Estense,146,47
1995,28103,Villafranca Padovana,308,85
1995,28104,Villanova di Camposampiero,381,61
1995,28105,Vo,167,83
1995,28106,Due Carrare,276,11
1995,29001,Adria,183,73
1995,29002,Ariano nel Polesine,63,43
1995,29003,Arquà Polesine,142,71
1995,29004,Badia Polesine,231,37
1995,29005,Bagnolo di Po,67,62
1995,29006,Bergantino,150,66
1995,29007,Bosaro,208,64
1995,29008,Calto,81,06
1995,29009,Canaro,84,65
1995,29010,Canda,69,03
1995,29011,Castelguglielmo,84,39
1995,29012,Castelmassa,380,2
1995,29013,Castelnovo Bariano,83,28
1995,29014,Ceneselli,69,56
1995,29015,Ceregnano,134,91
1995,29016,Contarina,
1995,29017,Corbola,146,38
1995,29018,Costa di Rovigo,188,47
1995,29019,Crespino,68,73
1995,29020,Donada,
1995,29021,Ficarolo,160,71
1995,29022,Fiesso Umbertiano,151,74
1995,29023,Frassinelle Polesine,78,01
1995,29024,Fratta Polesine,138,07
1995,29025,Gaiba,92,89
1995,29026,Gavello,68,62
1995,29027,Giacciano con Baruchella,130,01
1995,29028,Guarda Veneta,67,71
1995,29029,Lendinara,222,13
1995,29030,Loreo,94,67
1995,29031,Lusia,203,78
1995,29032,Melara,113,81
1995,29033,Occhiobello,293,07
1995,29034,Papozze,83,33
1995,29035,Pettorazza Grimani,78,61
1995,29036,Pincara,71,84
1995,29037,Polesella,238,85
1995,29038,Pontecchio Polesine,121,27
1995,29039,Porto Tolle,48,72
1995,29040,Rosolina,80,29
1995,29041,Rovigo,471,26
1995,29042,Salara,91,33
1995,29043,San Bellino,76,88
1995,29044,San Martino di Venezze,126,05
1995,29045,Stienta,123,83
1995,29046,Taglio di Po,106,89
1995,29047,Trecenta,94,69
1995,29048,Villadose,162,79
1995,29049,Villamarzana,84,86
1995,29050,Villanova del Ghebbo,192,35
1995,29051,Villanova Marchesana,57,77
1995,29052,Porto Viro,106,79
1996,23001,Affi,167,85
1996,23002,Albaredo d'Adige,176,65
1996,23003,Angiari,130,68
1996,23004,Arcole,258,21
1996,23005,Badia Calavena,84,43
1996,23006,Bardolino,112,23
1996,23007,Belfiore,98,72
1996,23008,Bevilacqua,135,89
1996,23009,Bonavigo,105,28
1996,23010,Boschi Sant'Anna,146,93
1996,23011,Bosco Chiesanuova,46,68
1996,23012,Bovolone,334,15
1996,23013,Brentino Belluno,48,56
1996,23014,Brenzone,47,18
1996,23015,Bussolengo,634,66
1996,23016,Buttapietra,292,2
1996,23017,Caldiero,498,56
1996,23018,Caprino Veronese,153,46
1996,23019,Casaleone,157,21
1996,23020,Castagnaro,121,47
1996,23021,Castel d'Azzano,995,3
1996,23022,Castelnuovo del Garda,236,2
1996,23023,Cavaion Veronese,293,93
1996,23024,Cazzano di Tramigna,106,29
1996,23025,Cerea,211,88
1996,23026,Cerro Veronese,170,21
1996,23027,Cologna Veneta,175,68
1996,23028,Colognola ai Colli,323,8
1996,23029,Concamarise,134,73
1996,23030,Costermano,153,87
1996,23031,Dolcè,54,22
1996,23032,Erbè,101,82
1996,23033,Erbezzo,23,67
1996,23034,Ferrara di Monte Baldo,7,7
1996,23035,Fumane,106,89
1996,23036,Garda,222,3
1996,23037,Gazzo Veronese,100,95
1996,23038,Grezzana,186,29
1996,23039,Illasi,189,69
1996,23040,Isola della Scala,144,92
1996,23041,Isola Rizza,162,89
1996,23042,Lavagno,386,28
1996,23043,Lazise,116,88
1996,23044,Legnago,320,97
1996,23045,Malcesine,51,69
1996,23046,Marano di Valpolicella,147,21
1996,23047,Mezzane di Sotto,96,12
1996,23048,Minerbe,156,21
1996,23049,Montecchia di Crosara,192,84
1996,23050,Monteforte d'Alpone,339,31
1996,23051,Mozzecane,182,48
1996,23052,Negrar,382,58
1996,23053,Nogara,198,07
1996,23054,Nogarole Rocca,93,37
1996,23055,Oppeano,141,57
1996,23056,Palù,83,49
1996,23057,Pastrengo,259,71
1996,23058,Pescantina,560,97
1996,23059,Peschiera del Garda,502,79
1996,23060,Povegliano Veronese,325,41
1996,23061,Pressana,138,74
1996,23062,Rivoli Veronese,102,22
1996,23063,Roncà,183
1996,23064,Ronco all'Adige,131,59
1996,23065,Roverchiara,131,38
1996,23066,Roveredo di Guà,126,67
1996,23067,Roverè Veronese,57,16
1996,23068,Salizzole,121,56
1996,23069,San Bonifacio,478,12
1996,23070,San Giovanni Ilarione,185,97
1996,23071,San Giovanni Lupatoto,1.100,42
1996,23072,Sanguinetto,301,54
1996,23073,San Martino Buon Albergo,373,14
1996,23074,San Mauro di Saline,48,65
1996,23075,San Pietro di Morubio,178,65
1996,23076,San Pietro in Cariano,588,58
1996,23077,Sant'Ambrogio di Valpolicella,387,74
1996,23078,Sant'Anna d'Alfaedo,56,31
1996,23079,San Zeno di Montagna,40,99
1996,23080,Selva di Progno,24,01
1996,23081,Soave,274,5
1996,23082,Sommacampagna,287,38
1996,23083,Sona,329,46
1996,23084,Sorgà,94,76
1996,23085,Terrazzo,120,6
1996,23086,Torri del Benaco,50,95
1996,23087,Tregnago,125,25
1996,23088,Trevenzuolo,86,85
1996,23089,Valeggio sul Mincio,156,35
1996,23090,Velo Veronese,41,79
1996,23091,Verona,1.231,11
1996,23092,Veronella,167,31
1996,23093,Vestenanova,108,49
1996,23094,Vigasio,206,4
1996,23095,Villa Bartolomea,101,15
1996,23096,Villafranca di Verona,447,09
1996,23097,Zevio,200,75
1996,23098,Zimella,206,75
1996,24001,Agugliaro,84,07
1996,24002,Albettone,97
1996,24003,Alonte,90,59
1996,24004,Altavilla Vicentina,527
1996,24005,Altissimo,135
1996,24006,Arcugnano,160,64
1996,24007,Arsiero,79,41
1996,24008,Arzignano,642,4
1996,24009,Asiago,40,92
1996,24010,Asigliano Veneto,101,48
1996,24011,Barbarano Vicentino,179,95
1996,24012,Bassano del Grappa,845,26
1996,24013,Bolzano Vicentino,241,53
1996,24014,Breganze,345,41
1996,24015,Brendola,226,29
1996,24016,Bressanvido,311,8
1996,24017,Brogliano,215,23
1996,24018,Caldogno,617,45
1996,24019,Caltrano,106,88
1996,24020,Calvene,108,41
1996,24021,Camisano Vicentino,261,03
1996,24022,Campiglia dei Berici,159,41
1996,24023,Campolongo sul Brenta,84,78
1996,24024,Carrè,342,59
1996,24025,Cartigliano,460,53
1996,24026,Cassola,919,65
1996,24027,Castegnero,190,71
1996,24028,Castelgomberto,294,5
1996,24029,Chiampo,518,72
1996,24030,Chiuppano,524,36
1996,24031,Cismon del Grappa,31,15
1996,24032,Cogollo del Cengio,89,13
1996,24033,Conco,84,27
1996,24034,Cornedo Vicentino,425,07
1996,24035,Costabissara,408,48
1996,24036,Creazzo,969,27
1996,24037,Crespadoro,44,74
1996,24038,Dueville,622,33
1996,24039,Enego,39,92
1996,24040,Fara Vicentino,248,13
1996,24041,Foza,22,41
1996,24042,Gallio,49,44
1996,24043,Gambellara,245,62
1996,24044,Gambugliano,94,72
1996,24045,Grancona,137,45
1996,24046,Grisignano di Zocco,241,85
1996,24047,Grumolo delle Abbadesse,212,26
1996,24048,Isola Vicentina,279,02
1996,24049,Laghi,6,84
1996,24050,Lastebasse,13,15
1996,24051,Longare,230,13
1996,24052,Lonigo,268,54
1996,24053,Lugo di Vicenza,253,63
1996,24054,Lusiana,84,67
1996,24055,Malo,382,09
1996,24056,Marano Vicentino,658,35
1996,24057,Marostica,345,79
1996,24058,Mason Vicentino,251,67
1996,24059,Molvena,314,82
1996,24060,Montebello Vicentino,260,19
1996,24061,Montecchio Maggiore,660,23
1996,24062,Montecchio Precalcino,307,96
1996,24063,Monte di Malo,112,07
1996,24064,Montegalda,168,38
1996,24065,Montegaldella,120,75
1996,24066,Monteviale,234,76
1996,24067,Monticello Conte Otto,839,84
1996,24068,Montorso Vicentino,305,42
1996,24069,Mossano,120,53
1996,24070,Mussolente,412,3
1996,24071,Nanto,150,72
1996,24072,Nogarole Vicentino,101,44
1996,24073,Nove,590,95
1996,24074,Noventa Vicentina,349,46
1996,24075,Orgiano,169,13
1996,24076,Pedemonte,62,92
1996,24077,Pianezze,359,15
1996,24078,Piovene Rocchette,567,85
1996,24079,Poiana Maggiore,147,94
1996,24080,Posina,16,45
1996,24081,Pove del Grappa,277,85
1996,24082,Pozzoleone,215,06
1996,24083,Quinto Vicentino,255,05
1996,24084,Recoaro Terme,125,69
1996,24085,Roana,47,46
1996,24086,Romano d'Ezzelino,615,83
1996,24087,Rosà,495,69
1996,24088,Rossano Veneto,612,29
1996,24089,Rotzo,21,2
1996,24090,Salcedo,165,36
1996,24091,Sandrigo,271,91
1996,24092,San Germano dei Berici,65,66
1996,24093,San Nazario,76,74
1996,24094,San Pietro Mussolino,358,39
1996,24095,Santorso,382,57
1996,24096,San Vito di Leguzzano,524,43
1996,24097,Sarcedo,355,67
1996,24098,Sarego,215,06
1996,24099,Schiavon,190,72
1996,24100,Schio,556,58
1996,24101,Solagna,106,08
1996,24102,Sossano,187,11
1996,24103,Sovizzo,338,7
1996,24104,Tezze sul Brenta,563,13
1996,24105,Thiene,1.047,49
1996,24106,Tonezza del Cimone,44,53
1996,24107,Torrebelvicino,249,01
1996,24108,Torri di Quartesolo,553,38
1996,24110,Trissino,343,68
1996,24111,Valdagno,541,47
1996,24112,Valdastico,63,91
1996,24113,Valli del Pasubio,72,72
1996,24114,Valstagna,72,38
1996,24115,Velo d'Astico,104,18
1996,24116,Vicenza,1.345,77
1996,24117,Villaga,79,48
1996,24118,Villaverla,323,82
1996,24119,Zanè,726,01
1996,24120,Zermeghedo,376,01
1996,24121,Zovencedo,88,66
1996,24122,Zugliano,419,51
1996,25001,Agordo,184,83
1996,25002,Alano di Piave,74,29
1996,25003,Alleghe,48,27
1996,25004,Arsiè,44,44
1996,25005,Auronzo di Cadore,16,91
1996,25006,Belluno,240,09
1996,25007,Borca di Cadore,28,86
1996,25008,Calalzo di Cadore,57,81
1996,25009,Castellavazzo,96,7
1996,25010,Cencenighe Agordino,84,5
1996,25011,Cesiomaggiore,48,78
1996,25012,Chies d'Alpago,35,34
1996,25013,Cibiana di Cadore,27,85
1996,25014,Colle Santa Lucia,28,54
1996,25015,Comelico Superiore,28,41
1996,25016,Cortina d'Ampezzo,26,3
1996,25017,Danta di Cadore,71,48
1996,25018,Domegge di Cadore,55,16
1996,25019,Falcade,42,59
1996,25020,Farra d'Alpago,64
1996,25021,Feltre,194,16
1996,25022,Fonzaso,125,03
1996,25023,Canale d'Agordo,28,1
1996,25024,Forno di Zoldo,37,62
1996,25025,Gosaldo,19,77
1996,25026,Lamon,67,49
1996,25027,La Valle Agordina,25,01
1996,25028,Lentiai,75,92
1996,25029,Limana,111,31
1996,25030,Livinallongo del Col di Lana,14,24
1996,25031,Longarone,40,6
1996,25032,Lorenzago di Cadore,23,74
1996,25033,Lozzo di Cadore,52,24
1996,25034,Mel,73,71
1996,25035,Ospitale di Cadore,9,64
1996,25036,Pedavena,172,31
1996,25037,Perarolo di Cadore,8,75
1996,25038,Pieve d'Alpago,79,96
1996,25039,Pieve di Cadore,60,48
1996,25040,Ponte nelle Alpi,135,84
1996,25041,Puos d'Alpago,164,23
1996,25042,Quero,76,25
1996,25043,Rivamonte Agordino,30,71
1996,25044,Rocca Pietore,20,26
1996,25045,San Gregorio nelle Alpi,77,8
1996,25046,San Nicolò di Comelico,17,63
1996,25047,San Pietro di Cadore,37,02
1996,25048,Santa Giustina,174,89
1996,25049,San Tomaso Agordino,45,07
1996,25050,Santo Stefano di Cadore,29,54
1996,25051,San Vito di Cadore,26,88
1996,25052,Sappada,22,55
1996,25053,Sedico,90,78
1996,25054,Selva di Cadore,17,77
1996,25055,Seren del Grappa,40,89
1996,25056,Sospirolo,50,74
1996,25057,Soverzene,28,85
1996,25058,Sovramonte,34,4
1996,25059,Taibon Agordino,18,9
1996,25060,Tambre,35,64
1996,25061,Trichiana,100,71
1996,25062,Vallada Agordina,43,75
1996,25063,Valle di Cadore,52,03
1996,25064,Vas,47,24
1996,25065,Vigo di Cadore,24,31
1996,25066,Vodo Cadore,19,68
1996,25067,Voltago Agordino,44,38
1996,25068,Zoldo Alto,20,29
1996,25069,Zoppè di Cadore,69,7
1996,26001,Altivole,261,32
1996,26002,Arcade,388,59
1996,26003,Asolo,277,78
1996,26004,Borso del Grappa,131,94
1996,26005,Breda di Piave,230,82
1996,26006,Caerano di San Marco,569,81
1996,26007,Cappella Maggiore,387,96
1996,26008,Carbonera,470,93
1996,26009,Casale sul Sile,302,64
1996,26010,Casier,546,06
1996,26011,Castelcucco,200,57
1996,26012,Castelfranco Veneto,594,46
1996,26013,Castello di Godego,346,22
